crash_year,day_of_week,hour_of_day,crashes,fatal
2020,1,0,3,0
2020,1,1,4,0
2020,1,2,2,0
2020,1,3,3,0
2020,1,4,4,0
2020,1,5,2,0
2020,1,6,0,0
2020,1,7,1,0
2020,1,8,3,0
2020,1,9,2,0
2020,1,10,4,0
2020,1,11,2,0
2020,1,12,1,0
2020,1,13,3,0
2020,1,14,2,0
2020,1,15,6,0
2020,1,16,1,0
2020,1,17,4,0
2020,1,18,2,0
2020,1,19,6,0
2020,1,20,3,0
2020,1,21,2,0
2020,1,22,0,0
2020,1,23,3,0
2020,2,0,1,0
2020,2,1,0,0
2020,2,2,3,0
2020,2,3,1,0
2020,2,4,0,0
2020,2,5,0,0
2020,2,6,0,0
2020,2,7,3,0
2020,2,8,1,0
2020,2,9,3,0
2020,2,10,1,0
2020,2,11,1,0
2020,2,12,2,0
2020,2,13,1,0
2020,2,14,2,0
2020,2,15,3,0
2020,2,16,4,0
2020,2,17,3,0
2020,2,18,1,0
2020,2,19,4,1
2020,2,20,0,0
2020,2,21,3,0
2020,2,22,2,0
2020,2,23,3,0
2020,3,0,2,0
2020,3,1,0,0
2020,3,2,0,0
2020,3,3,0,0
2020,3,4,0,0
2020,3,5,0,0
2020,3,6,1,0
2020,3,7,1,0
2020,3,8,0,0
2020,3,9,0,0
2020,3,10,1,0
2020,3,11,2,0
2020,3,12,4,0
2020,3,13,2,0
2020,3,14,1,0
2020,3,15,3,0
2020,3,16,3,0
2020,3,17,4,0
2020,3,18,3,0
2020,3,19,2,0
2020,3,20,4,0
2020,3,21,2,0
2020,3,22,6,0
2020,3,23,0,0
2020,4,0,2,0
2020,4,1,1,0
2020,4,2,2,0
2020,4,3,2,0
2020,4,4,1,0
2020,4,5,2,0
2020,4,6,2,0
2020,4,7,0,0
2020,4,8,2,0
2020,4,9,3,0
2020,4,10,3,0
2020,4,11,1,0
2020,4,12,5,0
2020,4,13,4,0
2020,4,14,2,0
2020,4,15,7,0
2020,4,16,7,0
2020,4,17,6,0
2020,4,18,4,0
2020,4,19,1,0
2020,4,20,1,0
2020,4,21,1,0
2020,4,22,2,0
2020,4,23,2,0
2020,5,0,2,0
2020,5,1,2,0
2020,5,2,1,0
2020,5,3,2,0
2020,5,4,0,0
2020,5,5,2,0
2020,5,6,2,0
2020,5,7,0,0
2020,5,8,2,0
2020,5,9,3,0
2020,5,10,2,0
2020,5,11,1,0
2020,5,12,1,0
2020,5,13,0,0
2020,5,14,3,0
2020,5,15,5,0
2020,5,16,3,0
2020,5,17,5,0
2020,5,18,2,0
2020,5,19,4,0
2020,5,20,0,0
2020,5,21,2,0
2020,5,22,4,0
2020,5,23,0,0
2020,6,0,0,0
2020,6,1,0,0
2020,6,2,1,0
2020,6,3,1,0
2020,6,4,1,0
2020,6,5,2,0
2020,6,6,0,0
2020,6,7,3,0
2020,6,8,1,0
2020,6,9,1,0
2020,6,10,2,0
2020,6,11,5,0
2020,6,12,4,0
2020,6,13,7,0
2020,6,14,2,0
2020,6,15,7,0
2020,6,16,3,0
2020,6,17,6,0
2020,6,18,2,0
2020,6,19,5,0
2020,6,20,4,0
2020,6,21,1,0
2020,6,22,3,0
2020,6,23,4,0
2020,7,0,2,0
2020,7,1,3,0
2020,7,2,4,0
2020,7,3,1,0
2020,7,4,1,0
2020,7,5,0,0
2020,7,6,1,0
2020,7,7,2,0
2020,7,8,1,0
2020,7,9,1,0
2020,7,10,5,0
2020,7,11,1,0
2020,7,12,3,0
2020,7,13,0,0
2020,7,14,1,0
2020,7,15,0,0
2020,7,16,7,0
2020,7,17,5,0
2020,7,18,3,0
2020,7,19,0,0
2020,7,20,2,0
2020,7,21,1,0
2020,7,22,4,0
2020,7,23,6,0
2021,1,0,6,0
2021,1,1,7,0
2021,1,2,4,0
2021,1,3,2,0
2021,1,4,2,0
2021,1,5,2,0
2021,1,6,2,0
2021,1,7,1,0
2021,1,8,2,0
2021,1,9,2,0
2021,1,10,2,0
2021,1,11,0,0
2021,1,12,0,0
2021,1,13,8,0
2021,1,14,0,0
2021,1,15,6,0
2021,1,16,1,0
2021,1,17,3,0
2021,1,18,2,0
2021,1,19,3,0
2021,1,20,1,0
2021,1,21,0,0
2021,1,22,3,0
2021,1,23,1,0
2021,2,0,1,1
2021,2,1,1,0
2021,2,2,1,0
2021,2,3,1,0
2021,2,4,1,0
2021,2,5,0,0
2021,2,6,0,0
2021,2,7,0,0
2021,2,8,1,0
2021,2,9,1,0
2021,2,10,1,0
2021,2,11,2,0
2021,2,12,1,0
2021,2,13,0,0
2021,2,14,0,0
2021,2,15,3,0
2021,2,16,4,0
2021,2,17,2,0
2021,2,18,2,0
2021,2,19,0,0
2021,2,20,0,0
2021,2,21,1,1
2021,2,22,2,0
2021,2,23,2,0
2021,3,0,1,0
2021,3,1,3,0
2021,3,2,0,0
2021,3,3,0,0
2021,3,4,0,0
2021,3,5,0,0
2021,3,6,0,0
2021,3,7,1,0
2021,3,8,1,0
2021,3,9,0,0
2021,3,10,0,0
2021,3,11,1,0
2021,3,12,3,0
2021,3,13,3,0
2021,3,14,1,0
2021,3,15,4,0
2021,3,16,1,0
2021,3,17,1,0
2021,3,18,1,0
2021,3,19,1,0
2021,3,20,1,0
2021,3,21,3,0
2021,3,22,3,0
2021,3,23,1,0
2021,4,0,0,0
2021,4,1,3,0
2021,4,2,0,0
2021,4,3,0,0
2021,4,4,0,0
2021,4,5,0,0
2021,4,6,0,0
2021,4,7,1,0
2021,4,8,2,0
2021,4,9,1,0
2021,4,10,0,0
2021,4,11,0,0
2021,4,12,3,0
2021,4,13,3,0
2021,4,14,3,0
2021,4,15,2,0
2021,4,16,1,0
2021,4,17,2,0
2021,4,18,2,0
2021,4,19,1,0
2021,4,20,2,0
2021,4,21,2,0
2021,4,22,0,0
2021,4,23,0,0
2021,5,0,2,0
2021,5,1,1,0
2021,5,2,0,0
2021,5,3,1,0
2021,5,4,1,0
2021,5,5,1,0
2021,5,6,1,0
2021,5,7,1,0
2021,5,8,0,0
2021,5,9,1,0
2021,5,10,1,0
2021,5,11,0,0
2021,5,12,0,0
2021,5,13,0,0
2021,5,14,0,0
2021,5,15,1,0
2021,5,16,0,0
2021,5,17,0,0
2021,5,18,3,0
2021,5,19,1,0
2021,5,20,2,0
